#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
  0.52999997      0.78116113      0.87271571      0.40610015       1.0274705      0.87812221       1.7699287      -2.9180119      -4.4718642    
  0.53999996      0.77195859      0.86297584      0.40205941       1.0254338      0.87266839       1.7250494      -2.8980985      -4.3161187    
  0.55000001      0.76300514      0.85312891      0.39805880       1.0237638      0.86765927       1.6824406      -2.8790472      -4.1711893    
  0.56000000      0.75427085      0.84371442      0.39409807       1.0216836      0.86213982       1.6405659      -2.8599961      -4.0262594    
  0.56999999      0.74577248      0.83437985      0.39017674       1.0199709      0.85706848       1.6008271      -2.8417487      -3.8916516    
  0.57999998      0.73747420      0.82544708      0.38629439       1.0178739      0.85151380       1.5616952      -2.8235016      -3.7570436    
  0.58999997      0.72939873      0.81658655      0.38245073       1.0161421      0.84640747       1.5245339      -2.8060055      -3.6321402    
  0.59999996      0.72150660      0.80793661      0.37864527       1.0140501      0.84084344       1.4879559      -2.7885089      -3.5072365    
  0.61000001      0.71382463      0.79967946      0.37487766       1.0123192      0.83572572       1.4531971      -2.7717128      -3.3914218    
  0.62000000      0.70631099      0.79145163      0.37114757       1.0102504      0.83017433       1.4189180      -2.7549171      -3.2756069    
  0.63000000      0.69899571      0.78344196      0.36745462       1.0085372      0.82506549       1.3864080      -2.7387753      -3.1682768    
  0.63999999      0.69183534      0.77560991      0.36379838       1.0065070      0.81954581       1.3542395      -2.7226343      -3.0609465    
  0.64999998      0.68486184      0.76798236      0.36017853       1.0048255      0.81446344       1.3237139      -2.7071042      -2.9614875    
  0.65999997      0.67803121      0.76037449      0.35659468       1.0028464      0.80899161       1.2936143      -2.6915739      -2.8620286    
  0.66999996      0.67137671      0.75324637      0.35304654       1.0012081      0.80395079       1.2649986      -2.6766155      -2.7698400    
  0.68000001      0.66485411      0.74598700      0.34953365      0.99929059      0.79854089       1.2366855      -2.6616576      -2.6776514    
  0.69000000      0.65849763      0.73904890      0.34605572      0.99770522      0.79355490       1.2098765      -2.6472337      -2.5922313    
  0.69999999      0.65226340      0.73211741      0.34261239      0.99585766      0.78821909       1.1832949      -2.6328106      -2.5068109    
  0.70999998      0.64618546      0.72535992      0.33920336      0.99433339      0.78329933       1.1580373      -2.6188881      -2.4275999    
  0.71999997      0.64022112      0.71886486      0.33582821      0.99256265      0.77804792       1.1330605      -2.6049654      -2.3483887    
  0.72999996      0.63440400      0.71240270      0.33248669      0.99110574      0.77320439       1.1093594      -2.5915115      -2.2749009    
  0.74000001      0.62869245      0.70606536      0.32917836      0.98941737      0.76804644       1.0858722      -2.5780582      -2.2014134    
  0.75000000      0.62311977      0.69988137      0.32590300      0.98803312      0.76328790       1.0635791      -2.5650446      -2.1331692    
  0.75999999      0.61764544      0.69393259      0.32266021      0.98643118      0.75823116       1.0414773      -2.5520306      -2.0649250    
  0.76999998      0.61230195      0.68800676      0.31944969      0.98512363      0.75356507       1.0204551      -2.5394297      -2.0015633    
  0.77999997      0.60705024      0.68218923      0.31627113      0.98361140      0.74861628      0.99972254      -2.5268281      -1.9382018    
  0.78999996      0.60192198      0.67639434      0.31312418      0.98238409      0.74404901      0.97992182      -2.5146141      -1.8793230    
  0.79999995      0.59687936      0.67070431      0.31000853      0.98096395      0.73921376      0.96031463      -2.5023994      -1.8204443    
  0.81000000      0.59195322      0.66525465      0.30692390      0.97981894      0.73475081      0.94177043      -2.4905493      -1.7657351    
  0.81999999      0.58710736      0.65989929      0.30386993      0.97849244      0.73003393      0.92328805      -2.4786985      -1.7110261    
  0.82999998      0.58237141      0.65455830      0.30084637      0.97743106      0.72567993      0.90580881      -2.4671900      -1.6601422    
  0.83999997      0.57771081      0.64941329      0.29785293      0.97619885      0.72108525      0.88841665      -2.4556811      -1.6092579    
  0.84999996      0.57315385      0.64427865      0.29488924      0.97522211      0.71684426      0.87193435      -2.4444935      -1.5619386    
  0.85999995      0.56866765      0.63923025      0.29195502      0.97408432      0.71237510      0.85556549      -2.4333065      -1.5146192    
  0.87000000      0.56427944      0.63429129      0.28905001      0.97319216      0.70824987      0.84003592      -2.4224219      -1.4706213    
  0.88000000      0.55995768      0.62953115      0.28617394      0.97214824      0.70390844      0.82460928      -2.4115369      -1.4266236    
  0.88999999      0.55572861      0.62467873      0.28332645      0.97134006      0.69990093      0.80997413      -2.4009376      -1.3857086    
  0.89999998      0.55156213      0.62000006      0.28050730      0.97038853      0.69568861      0.79541409      -2.3903377      -1.3447937    
  0.90999997      0.54748321      0.61541891      0.27771622      0.96966332      0.69180042      0.78161973      -2.3800063      -1.3067162    
  0.91999996      0.54346329      0.61081707      0.27495292      0.96880293      0.68771809      0.76789218      -2.3696754      -1.2686388    
  0.93000001      0.53952616      0.60640091      0.27221707      0.96815914      0.68395019      0.75490713      -2.3595974      -1.2332339    
  0.94000000      0.53564489      0.60196251      0.26950845      0.96738768      0.67999840      0.74196345      -2.3495200      -1.1978292    
  0.94999999      0.53184193      0.59770209      0.26682681      0.96682322      0.67635065      0.72968638      -2.3396821      -1.1649333    
  0.95999998      0.52809173      0.59341794      0.26417184      0.96613801      0.67252868      0.71749890      -2.3298438      -1.1320376    
  0.96999997      0.52441579      0.58930463      0.26154327      0.96564937      0.66899943      0.70590413      -2.3202312      -1.1015936    
  0.97999996      0.52078962      0.58516645      0.25894088      0.96504658      0.66530502      0.69439292      -2.3106191      -1.0711495    
  0.98999995      0.51723397      0.58119214      0.25636438      0.96462911      0.66189003      0.68347311      -2.3012209      -1.0430971    
   1.0000000      0.51372540      0.57710934      0.25381351      0.96410346      0.65831852      0.67256045      -2.2918229      -1.0150447    
   1.0100000      0.51028365      0.57318616      0.25128803      0.96375102      0.65501207      0.66220349      -2.2826278     -0.98922038    
   1.0200000      0.50688660      0.56931877      0.24878767      0.96329606      0.65155697      0.65190226      -2.2734318     -0.96339583    
   1.0300000      0.50355303      0.56552345      0.24631219      0.96300298      0.64835304      0.64207059      -2.2644296     -0.93960381    
   1.0400000      0.50026178      0.56178087      0.24386135      0.96261239      0.64500785      0.63230813      -2.2554264     -0.91581196    
   1.0500000      0.49703079      0.55802906      0.24143489      0.96237338      0.64190096      0.62296772      -2.2466068     -0.89383239    
   1.0599999      0.49384013      0.55432928      0.23903258      0.96204156      0.63865966      0.61369270      -2.2377865     -0.87185287    
   1.0699999      0.49070662      0.55077171      0.23665416      0.96185172      0.63564467      0.60484689      -2.2291415     -0.85152018    
   1.0799999      0.48761156      0.54718715      0.23429942      0.96157336      0.63250178      0.59602863      -2.2204955     -0.83118743    
   1.0900000      0.48457071      0.54373944      0.23196806      0.96142823      0.62957406      0.58757997      -2.2120159     -0.81233782    
   1.1000000      0.48156646      0.54026407      0.22965996      0.96119863      0.62652433      0.57920712      -2.2035363     -0.79348826    
   1.1100000      0.47861391      0.53684884      0.22737481      0.96109426      0.62367958      0.57114726      -2.1952155     -0.77598584    
   1.1200000      0.47569633      0.53354967      0.22511238      0.96090925      0.62071842      0.56316018      -2.1868947     -0.75848353    
   1.1300000      0.47282782      0.53023541      0.22287247      0.96084183      0.61795259      0.55551589      -2.1787250     -0.74221355    
   1.1400000      0.46999261      0.52696377      0.22065488      0.96069717      0.61507559      0.54789090      -2.1705556     -0.72594368    
   1.1500000      0.46720421      0.52374649      0.21845931      0.96066332      0.61238503      0.54057276      -2.1625307     -0.71077538    
   1.1600000      0.46444768      0.52056986      0.21628560      0.96055549      0.60958815      0.53330517      -2.1545064     -0.69560695    
   1.1700000      0.46173576      0.51744503      0.21413353      0.96055198      0.60696924      0.52630991      -2.1466208     -0.68144643    
   1.1799999      0.45905414      0.51429218      0.21200287      0.96047759      0.60424864      0.51934648      -2.1387353     -0.66728598    
   1.1899999      0.45641518      0.51132190      0.20989341      0.96050161      0.60169828      0.51268864      -2.1309836     -0.65407836    
   1.1999999      0.45380527      0.50825691      0.20780493      0.96045768      0.59905058      0.50602770      -2.1232312     -0.64087093    
   1.2099999      0.45123595      0.50524026      0.20573725      0.96050632      0.59656560      0.49962419      -2.1156068     -0.62851411    
   1.2200000      0.44869444      0.50232404      0.20369010      0.96048969      0.59398741      0.49326506      -2.1079826     -0.61615735    
   1.2300000      0.44619179      0.49938962      0.20166335      0.96056080      0.59156513      0.48714933      -2.1004810     -0.60458553    
   1.2400000      0.44371572      0.49649015      0.19965677      0.96056902      0.58905333      0.48105982      -2.0929804     -0.59301376    
   1.2500000      0.44127685      0.49369675      0.19767016      0.96066016      0.58669102      0.47516865      -2.0855982     -0.58214986    
   1.2600000      0.43886346      0.49081317      0.19570331      0.96069068      0.58424276      0.46933430      -2.0782156     -0.57128602    
   1.2700000      0.43648568      0.48809424      0.19375603      0.96079952      0.58193791      0.46368647      -2.0709474     -0.56108284    
   1.2800000      0.43413222      0.48528609      0.19182813      0.96085024      0.57955050      0.45807791      -2.0636790     -0.55087984    
   1.2900000      0.43181288      0.48263833      0.18991940      0.96097505      0.57730073      0.45267659      -2.0565205     -0.54129350    
   1.3000000      0.42951700      0.47996125      0.18802968      0.96104360      0.57497174      0.44726574      -2.0493619     -0.53170729    
   1.3099999      0.42725366      0.47732276      0.18615875      0.96118265      0.57277483      0.44209895      -2.0423098     -0.52268577    
   1.3199999      0.42501289      0.47465611      0.18430644      0.96126735      0.57050174      0.43692148      -2.0352573     -0.51366425    
   1.3299999      0.42280337      0.47208458      0.18247257      0.96141875      0.56835568      0.43193108      -2.0283082     -0.50514698    
   1.3399999      0.42061546      0.46948469      0.18065692      0.96151769      0.56613624      0.42696029      -2.0213585     -0.49662977    
   1.3500000      0.41845754      0.46697736      0.17885934      0.96168000      0.56403899      0.42215192      -2.0145082     -0.48860538    
   1.3600000      0.41632038      0.46449697      0.17707966      0.96179152      0.56187111      0.41736224      -2.0076573     -0.48058099    
   1.3700000      0.41421208      0.46205068      0.17531770      0.96196312      0.55982077      0.41274205      -2.0009034     -0.47300068    
   1.3800000      0.41212374      0.45957583      0.17357326      0.96208560      0.55770248      0.40812424      -1.9941491     -0.46542037    
   1.3900000      0.41006312      0.45713460      0.17184618      0.96226525      0.55569738      0.40365273      -1.9874876     -0.45825240    
   1.4000000      0.40802169      0.45477271      0.17013629      0.96239734      0.55362678      0.39922854      -1.9808266     -0.45108441    
   1.4100000      0.40600684      0.45233616      0.16844340      0.96258390      0.55166525      0.39492813      -1.9742553     -0.44430035    
   1.4200000      0.40401062      0.44997796      0.16676736      0.96272433      0.54964048      0.39065871      -1.9676841     -0.43751627    
   1.4299999      0.40203986      0.44770280      0.16510801      0.96291637      0.54772079      0.38652137      -1.9612002     -0.43108982    
   1.4399999      0.40008700      0.44539905      0.16346516      0.96306372      0.54574025      0.38238412      -1.9547167     -0.42466331    
   1.4499999      0.39815873      0.44312507      0.16183865      0.96326047      0.54386109      0.37838769      -1.9483175     -0.41856512    
   1.4599999      0.39624768      0.44087416      0.16022833      0.96341372      0.54192305      0.37440553      -1.9419188     -0.41246697    
   1.4699999      0.39436030      0.43865180      0.15863404      0.96361399      0.54008287      0.37055799      -1.9356021     -0.40668389    
   1.4800000      0.39248949      0.43645158      0.15705557      0.96377218      0.53818583      0.36670920      -1.9292858     -0.40090081    
   1.4900000      0.39064157      0.43422955      0.15549286      0.96397507      0.53638339      0.36297455      -1.9230494     -0.39540339    
   1.5000000      0.38880968      0.43207875      0.15394567      0.96413702      0.53452593      0.35926768      -1.9168130     -0.38990590    
   1.5100000      0.38699979      0.42995444      0.15241389      0.96434176      0.53275990      0.35566959      -1.9106545     -0.38467106    
   1.5200000      0.38520533      0.42780247      0.15089735      0.96450663      0.53094065      0.35208377      -1.9044962     -0.37943622    
   1.5300000      0.38343212      0.42572466      0.14939590      0.96471226      0.52920973      0.34860179      -1.8984132     -0.37446365    
   1.5400000      0.38167387      0.42361924      0.14790939      0.96487921      0.52742743      0.34513161      -1.8923309     -0.36949104    
   1.5500000      0.37993604      0.42158625      0.14643766      0.96508515      0.52573049      0.34177500      -1.8863220     -0.36474767    
   1.5599999      0.37821269      0.41957235      0.14498058      0.96525347      0.52398384      0.33841512      -1.8803128     -0.36000428    
   1.5699999      0.37650907      0.41758221      0.14353800      0.96545917      0.52231979      0.33516437      -1.8743764     -0.35547921    
   1.5799999      0.37481946      0.41551861      0.14210978      0.96562797      0.52060759      0.33189553      -1.8684396     -0.35095420    
   1.5899999      0.37314895      0.41352493      0.14069577      0.96583265      0.51897538      0.32876036      -1.8625724     -0.34663782    
   1.5999999      0.37149194      0.41159502      0.13929582      0.96600145      0.51729643      0.32559228      -1.8567058     -0.34232143    
   1.6100000      0.36985335      0.40964225      0.13790978      0.96620470      0.51569504      0.32255378      -1.8509072     -0.33818850    
   1.6200000      0.36822781      0.40770736      0.13653757      0.96637285      0.51404840      0.31951073      -1.8451093     -0.33405560    
   1.6300000      0.36662015      0.40579453      0.13517898      0.96657389      0.51247680      0.31655049      -1.8393775     -0.33011708    
   1.6400000      0.36502516      0.40389892      0.13383393      0.96674091      0.51086140      0.31359962      -1.8336457     -0.32617855    
   1.6500000      0.36344746      0.40202463      0.13250227      0.96693945      0.50931871      0.31072804      -1.8279793     -0.32240090    
   1.6600000      0.36188200      0.40021023      0.13118385      0.96710455      0.50773352      0.30786547      -1.8223128     -0.31862319    
   1.6700000      0.36033326      0.39832991      0.12987855      0.96730018      0.50621885      0.30509284      -1.8167106     -0.31501231    
